Mesocosm Code,Mesocosm only Mass (g) 29-09-2025,Mesocosm only Mass (g) 01/10/2025,Mesocosm mass (g) 03/10/2025,Mesocosm mass (g) 06/10/2025,Mesocosm mass (g) 08/10/2025,Mesocosm mass (g) 10/10/2025,Mesocosm mass (g) 13/10/2025,Mesocosm mass (g) 15/10/2025,Mesocosm mass (g) 17/10/2025,Mesocosm mass (g) 20/10/2025,Mesocosm mass (g) 22/10/2025,Mesocosm mass (g) 24/10/2025,Mesocosm mass (g) 27/10/2025,Mesocosm mass (g) 29/10/2025,Mesocosm mass (g) 31/10/2025,Mesocosm mass (g) 03/11/2025,Mesocosm mass (g) 05/11/2025,Mesocosm mass (g) 07/11/2025,Mesocosm mass (g) 11/11/2025
32-123-HB,898.17,891.20,887.46,878.16,873.72,869.62,861.72,942.58,933.40,919.72,912.14,902.14,884.26,877.68,870.07,860.46,857.60,854.59,
16-128-HH,942.18,934.40,930.95,920.89,916.26,912.14,904.07,975.45,965.61,950.94,943.66,933.94,917.35,910.80,903.00,892.73,889.85,886.62,
54-164-GB,1160.76,"1,151.03","1,145.74","1,132.78","1,127.41","1,122.44","1,112.73","1,188.13","1,180.09","1,166.12","1,159.12","1,149.85","1,132.04","1,124.49","1,115.45","1,103.68","1,100.39","1,096.35",
50-160-GG,1057.85,"1,051.98","1,048.62","1,039.47","1,035.48","1,031.67","1,024.36","1,130.02","1,123.41","1,112.88","1,107.21","1,099.42","1,083.75","1,077.33","1,069.91","1,060.72","1,057.82","1,054.85",
53-149-HB,799.13,788.80,782.47,765.14,758.11,751.00,738.24,890.34,879.51,855.63,844.69,828.80,795.17,781.63,767.36,749.32,744.58,739.17,
23-146-HH,750.55,744.00,740.04,729.26,724.86,720.63,712.79,798.97,789.74,775.58,767.79,757.96,739.61,731.58,722.50,711.06,708.02,704.48,
45-161-GB,1134.04,"1,121.36","1,113.68","1,091.70","1,083.51","1,074.78","1,059.72","1,134.18","1,118.93","1,097.75","1,086.97","1,071.93","1,041.95","1,030.86","1,019.21","1,003.43",999.68,995.69,
36-178-GG,822.69,816.86,813.39,803.77,800.38,796.44,789.26,874.82,867.06,854.89,849.08,841.28,825.17,818.59,811.37,801.13,798.54,795.69,
2-138-HB,772.68,764.58,759.11,745.33,740.23,735.29,726.71,798.04,785.73,766.85,757.93,745.60,726.71,719.67,712.24,702.89,700.78,698.16,
5-139-HH,791.9,782.86,777.91,765.32,760.56,755.62,746.69,833.72,822.50,804.60,796.19,785.15,765.41,757.56,748.69,737.15,734.11,731.02,
